"contrast","ontology","term","sig_with_term","sig_total","universe_with_term","universe_total","pvalue","padj"
"18_month_vs_6_month","GO","GO:0043565",1,889,157,35149,0.982244197042031,1
"18_month_vs_6_month","GO","GO:0003924",2,889,252,35149,0.988352196350018,1
"18_month_vs_6_month","GO","GO:0006281",1,889,174,35149,0.988536922447758,1
"18_month_vs_6_month","GO","GO:0016887",3,889,328,35149,0.990008446859899,1
"18_month_vs_6_month","GO","GO:0003700",2,889,274,35149,0.992894558097695,1
"18_month_vs_6_month","GO","GO:0005737",4,889,436,35149,0.995715448355772,1
"18_month_vs_6_month","GO","GO:0005509",1,889,217,35149,0.996213864457354,1
"18_month_vs_6_month","GO","GO:0005852",1,889,217,35149,0.996213864457354,1
"18_month_vs_6_month","GO","GO:0005634",3,889,378,35149,0.996459895667858,1
"18_month_vs_6_month","GO","GO:0007165",2,889,383,35149,0.999426360506162,1
"18_month_vs_6_month","GO","GO:0000001",0,889,2,35149,1,1
"18_month_vs_6_month","GO","GO:0000009",0,889,1,35149,1,1
"18_month_vs_6_month","GO","GO:0000011",0,889,1,35149,1,1
"18_month_vs_6_month","GO","GO:0000012",0,889,5,35149,1,1
"18_month_vs_6_month","GO","GO:0000030",0,889,5,35149,1,1
"18_month_vs_6_month","GO","GO:0000041",0,889,1,35149,1,1
"18_month_vs_6_month","GO","GO:0000045",0,889,6,35149,1,1
"18_month_vs_6_month","GO","GO:0000062",0,889,6,35149,1,1
"18_month_vs_6_month","GO","GO:0000070",0,889,6,35149,1,1
"18_month_vs_6_month","GO","GO:0000077",0,889,8,35149,1,1
"18_month_vs_6_month","GO","GO:0000079",0,889,2,35149,1,1
"18_month_vs_6_month","GO","GO:0000105",0,889,6,35149,1,1
"18_month_vs_6_month","GO","GO:0000120",0,889,3,35149,1,1
"18_month_vs_6_month","GO","GO:0000122",0,889,1,35149,1,1
"18_month_vs_6_month","GO","GO:0000123",0,889,2,35149,1,1
"18_month_vs_6_month","GO","GO:0000124",0,889,1,35149,1,1
"18_month_vs_6_month","GO","GO:0000139",0,889,15,35149,1,1
"18_month_vs_6_month","GO","GO:0000145",0,889,36,35149,1,1
"18_month_vs_6_month","GO","GO:0000150",0,889,8,35149,1,1
"18_month_vs_6_month","GO","GO:0000151",0,889,4,35149,1,1
"18_month_vs_6_month","GO","GO:0000156",0,889,4,35149,1,1
"18_month_vs_6_month","GO","GO:0000159",0,889,6,35149,1,1
"18_month_vs_6_month","GO","GO:0000165",0,889,1,35149,1,1
"18_month_vs_6_month","GO","GO:0000172",0,889,3,35149,1,1
"18_month_vs_6_month","GO","GO:0000176",0,889,4,35149,1,1
"18_month_vs_6_month","GO","GO:0000184",0,889,3,35149,1,1
"18_month_vs_6_month","GO","GO:0000213",0,889,4,35149,1,1
